Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,ELÉTRICO,Elétrico,A,S,E,E,\,\,\,A,\,\,\,\,\,\,\,48.8,36.8,0.48,197,A,A,-
Sub Compacto,FIAT,500E,ICON,ELÉTRICO,Elétrico,A-1,S,E,E,\,\,\,A,\,\,\,\,\,\,\,47.3,40.4,0.46,227,A,A,-
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,Combustão,M-5,N,M,F,38,263,3,A,0,88,\,9.8,11.0,14.2,15.5,\,\,1.44,\,B,B,-
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,Combustão,M-5,S,H,F,40,257,2,A,0,93,\,9.6,10.4,13.5,15.0,\,\,1.50,\,C,B,-
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,Combustão,M-5,S,H,F,40,257,2,A,0,93,\,9.6,10.4,13.5,15.0,\,\,1.50,\,C,B,-
Sub Compacto,JAC,e-JS1,e-JS1,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,40.9,30.3,0.57,161,A,A,-
Sub Compacto,JAC,e-JS1,e-JS1 EXT,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,40.9,30.3,0.57,161,A,A,-
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,52.7,39.6,0.44,186,A,A,-
Compacto,FIAT,ARGO,DRIVE 1.0 (CY23),1.0-6V,Combustão,M-5,S,E,F,41,503,2,B,0,95,\,9.3,10.3,13.4,14.6,\,\,1.53,\,A,B,SIM
Compacto,FIAT,ARGO,1.0  (CY23),1.0-6V,Combustão,M-5,S,E,F,41,503,2,B,0,95,\,9.3,10.3,13.4,14.6,\,\,1.53,\,A,B,SIM
